AÃ±o,Trimestre,Provincia,Total,Banda ancha fija (en miles)
2019,2,SAN JUAN,70025,69.46
2019,2,SAN LUIS,117385,117.09
2019,2,SANTA CRUZ,30550,30.22
2019,2,SANTA FE,743484,743.26
2019,2,SANTIAGO DEL ESTERO,126754,126.75
2019,2,TIERRA DEL FUEGO,47454,46.91
2019,2,TUCUMAN,166331,166.3
2019,1,BUENOS AIRES,3746667,3736.56
2019,1,CAPITAL FEDERAL,1399600,1396.16
2019,1,CATAMARCA,33622,33.61
2019,1,CHACO,103677,103.66
2019,1,CHUBUT,79778,78.26
2019,1,CORDOBA,744115,744.01
2019,1,CORRIENTES,102487,102.48
2019,1,ENTRE RIOS,232447,232.4
2019,1,FORMOSA,45211,45.21
2019,1,JUJUY,90147,90.15
2019,1,LA PAMPA,89160,88.89
2019,1,LA RIOJA,51656,51.64
2019,1,MENDOZA,206298,204.98
2019,1,MISIONES,122720,122.72
2019,1,NEUQUEN,114377,112.32
2019,1,RIO NEGRO,121088,120.17
2019,1,SALTA,136020,136.02
2019,1,SAN JUAN,62445,61.88
2019,1,SAN LUIS,96335,96.04
2019,1,SANTA CRUZ,24905,24.58
2019,1,SANTA FE,737078,736.85
2019,1,SANTIAGO DEL ESTERO,89853,89.85
2019,1,TIERRA DEL FUEGO,46447,45.9
2019,1,TUCUMAN,172002,171.97
2018,4,BUENOS AIRES,3636606,3626.5
2018,4,CAPITAL FEDERAL,1389020,1385.58
2018,4,CATAMARCA,33583,33.57
2018,4,CHACO,103270,103.26
2018,4,CHUBUT,78722,77.2
2018,4,CORDOBA,737339,737.23
2018,4,CORRIENTES,100601,100.59
2018,4,ENTRE RIOS,222047,222.0
2018,4,FORMOSA,45204,45.2
2018,4,JUJUY,90133,90.13
2018,4,LA PAMPA,85636,85.37
2018,4,LA RIOJA,51651,51.63
2018,4,MENDOZA,206304,204.98
2018,4,MISIONES,116273,116.27
2018,4,NEUQUEN,114365,112.31
2018,4,RIO NEGRO,116837,115.92
2018,4,SALTA,134578,134.58
2018,4,SAN JUAN,62398,61.83
2018,4,SAN LUIS,96331,96.04
2018,4,SANTA CRUZ,24768,24.44
2018,4,SANTA FE,720390,720.16
2018,4,SANTIAGO DEL ESTERO,89335,89.33
2018,4,TIERRA DEL FUEGO,46260,45.72
2018,4,TUCUMAN,172004,171.97
2018,3,BUENOS AIRES,3610277,3599.71
2018,3,CAPITAL FEDERAL,1392490,1385.8
2018,3,CATAMARCA,34226,34.22
2018,3,CHACO,102033,102.02
2018,3,CHUBUT,103736,101.31
2018,3,CORDOBA,725858,725.76
2018,3,CORRIENTES,99456,99.44
2018,3,ENTRE RIOS,204608,204.56
2018,3,FORMOSA,44865,44.86
2018,3,JUJUY,44935,44.93
2018,3,LA PAMPA,83424,83.18
2018,3,LA RIOJA,51872,51.86
2018,3,MENDOZA,207029,205.54
2018,3,MISIONES,108042,108.04
2018,3,NEUQUEN,116718,114.71
2018,3,RIO NEGRO,113492,112.43
2018,3,SALTA,132883,132.88
2018,3,SAN JUAN,64481,63.82
2018,3,SAN LUIS,74421,74.12
2018,3,SANTA CRUZ,33999,33.56
2018,3,SANTA FE,695100,694.88
2018,3,SANTIAGO DEL ESTERO,86360,86.36
2018,3,TIERRA DEL FUEGO,45564,45.06
2018,3,TUCUMAN,171166,171.14
2018,2,BUENOS AIRES,3500699,3490.13
2018,2,CAPITAL FEDERAL,1369186,1362.5
2018,2,CATAMARCA,34089,34.08
2018,2,CHACO,98521,98.51
2018,2,CHUBUT,100564,98.14
2018,2,CORDOBA,713073,712.98
2018,2,CORRIENTES,97957,97.95
2018,2,ENTRE RIOS,199985,199.94
2018,2,FORMOSA,44554,44.55
2018,2,JUJUY,45133,45.13
2018,2,LA PAMPA,82421,82.18
2018,2,LA RIOJA,51948,51.93
2018,2,MENDOZA,200952,199.47
2018,2,MISIONES,106147,106.15
2018,2,NEUQUEN,115848,113.84
2018,2,RIO NEGRO,112235,111.18
2018,2,SALTA,134167,134.17
2018,2,SAN JUAN,64101,63.44
2018,2,SAN LUIS,21468,21.17
2018,2,SANTA CRUZ,34405,33.97
2018,2,SANTA FE,684552,684.24
2018,2,SANTIAGO DEL ESTERO,83775,83.77
2018,2,TIERRA DEL FUEGO,44707,44.2
2018,2,TUCUMAN,169957,169.93
2018,1,BUENOS AIRES,3475446,3464.88
2018,1,CAPITAL FEDERAL,1366570,1359.88
2018,1,CATAMARCA,33945,33.93
2018,1,CHACO,96937,96.92
2018,1,CHUBUT,97959,95.53
2018,1,CORDOBA,713926,713.82
2018,1,CORRIENTES,94417,94.41
2018,1,ENTRE RIOS,197394,197.35
2018,1,FORMOSA,32328,32.33
2018,1,JUJUY,44406,44.4
2018,1,LA PAMPA,83064,82.67
2018,1,LA RIOJA,52245,52.23
2018,1,MENDOZA,200947,199.46
2018,1,MISIONES,103580,103.58
2018,1,NEUQUEN,117903,115.9
2018,1,RIO NEGRO,111119,110.06
2018,1,SALTA,133183,133.18
2018,1,SAN JUAN,63268,62.61
2018,1,SAN LUIS,21396,21.1
2018,1,SANTA CRUZ,34405,33.97
2018,1,SANTA FE,680026,679.72
2018,1,SANTIAGO DEL ESTERO,82918,82.92
2018,1,TIERRA DEL FUEGO,31614,31.11
2018,1,TUCUMAN,168057,168.03
2017,4,BUENOS AIRES,3181896,3171.21
2017,4,CAPITAL FEDERAL,1582324,1575.42
2017,4,CATAMARCA,29558,29.55
2017,4,CHACO,96615,96.6
2017,4,CHUBUT,93440,91.01
2017,4,CORDOBA,709979,709.87
2017,4,CORRIENTES,93771,93.76
2017,4,ENTRE RIOS,193703,193.65
2017,4,FORMOSA,32056,32.06
2017,4,JUJUY,43552,43.55
2017,4,LA PAMPA,82071,81.68
2017,4,LA RIOJA,52194,52.18
2017,4,MENDOZA,180151,178.66
2017,4,MISIONES,103895,103.9
2017,4,NEUQUEN,116971,114.96
2017,4,RIO NEGRO,109764,108.7
2017,4,SALTA,132812,132.81
2017,4,SAN JUAN,58624,57.96
2017,4,SAN LUIS,14904,14.6
2017,4,SANTA CRUZ,29452,29.02
2017,4,SANTA FE,672460,672.14
2017,4,SANTIAGO DEL ESTERO,68844,68.84
2017,4,TIERRA DEL FUEGO,28854,28.35
2017,4,TUCUMAN,162332,162.3
2017,3,BUENOS AIRES,3057960,3046.76
2017,3,CAPITAL FEDERAL,1570359,1563.29
2017,3,CATAMARCA,33478,33.47
2017,3,CHACO,93759,93.75
2017,3,CHUBUT,83544,81.07
2017,3,CORDOBA,696644,696.54
2017,3,CORRIENTES,92548,92.54
2017,3,ENTRE RIOS,185464,185.41
2017,3,FORMOSA,32105,32.1
2017,3,JUJUY,43242,43.24
2017,3,LA PAMPA,79690,79.28
2017,3,LA RIOJA,51913,51.9
2017,3,MENDOZA,192491,190.96
2017,3,MISIONES,100476,100.48
2017,3,NEUQUEN,115784,113.76
2017,3,RIO NEGRO,107496,106.39
2017,3,SALTA,132518,132.52
2017,3,SAN JUAN,62449,61.79
2017,3,SAN LUIS,21719,21.41
2017,3,SANTA CRUZ,33690,33.22
2017,3,SANTA FE,662342,662.09
2017,3,SANTIAGO DEL ESTERO,82794,82.79
2017,3,TIERRA DEL FUEGO,31466,30.88
2017,3,TUCUMAN,161012,160.98
2017,2,BUENOS AIRES,3078631,3067.43
2017,2,CAPITAL FEDERAL,1600191,1592.18
2017,2,CATAMARCA,26705,26.69
2017,2,CHACO,90611,90.6
2017,2,CHUBUT,63975,62.24
2017,2,CORDOBA,657638,657.5
2017,2,CORRIENTES,90097,90.08
2017,2,ENTRE RIOS,182732,182.68
2017,2,FORMOSA,29956,29.96
2017,2,JUJUY,42657,42.66
2017,2,LA PAMPA,73022,72.57
2017,2,LA RIOJA,16289,16.27
2017,2,MENDOZA,170753,169.3
2017,2,MISIONES,99794,99.79
2017,2,NEUQUEN,117433,115.32
2017,2,RIO NEGRO,101619,100.62
2017,2,SALTA,108541,108.54
2017,2,SAN JUAN,51881,51.26
2017,2,SAN LUIS,13307,12.99
2017,2,SANTA CRUZ,26388,26.02
2017,2,SANTA FE,567280,566.92
2017,2,SANTIAGO DEL ESTERO,33196,33.19
2017,2,TIERRA DEL FUEGO,32557,31.94
2017,2,TUCUMAN,154411,154.37
2017,1,BUENOS AIRES,3189376,3178.17
2017,1,CAPITAL FEDERAL,1399046,1391.03
2017,1,CATAMARCA,26317,26.3
2017,1,CHACO,89050,89.04
2017,1,CHUBUT,63896,62.17
2017,1,CORDOBA,641199,641.07
2017,1,CORRIENTES,88608,88.6
2017,1,ENTRE RIOS,180353,180.3
2017,1,FORMOSA,29705,29.7
2017,1,JUJUY,43203,43.2
2017,1,LA PAMPA,71913,71.46
2017,1,LA RIOJA,16225,16.21
2017,1,MENDOZA,170733,169.28
2017,1,MISIONES,97619,97.62
2017,1,NEUQUEN,115339,113.23
2017,1,RIO NEGRO,101288,100.29
2017,1,SALTA,107633,107.63
2017,1,SAN JUAN,51873,51.25
2017,1,SAN LUIS,13307,12.99
2017,1,SANTA CRUZ,26486,26.12
2017,1,SANTA FE,562882,562.52
2017,1,SANTIAGO DEL ESTERO,34475,34.47
2017,1,TIERRA DEL FUEGO,32557,31.94
2017,1,TUCUMAN,152771,152.73
2016,4,BUENOS AIRES,3142701,3131.5
2016,4,CAPITAL FEDERAL,1401459,1393.44
2016,4,CATAMARCA,27034,27.02
2016,4,CHACO,88847,88.83
2016,4,CHUBUT,63765,62.04
2016,4,CORDOBA,636555,636.42
2016,4,CORRIENTES,88096,88.08
2016,4,ENTRE RIOS,180245,180.19
2016,4,FORMOSA,29513,29.51
2016,4,JUJUY,42625,42.62
2016,4,LA PAMPA,71828,71.37
2016,4,LA RIOJA,16316,16.3
2016,4,MENDOZA,170725,169.27
2016,4,MISIONES,97390,97.39
2016,4,NEUQUEN,113835,111.72
2016,4,RIO NEGRO,101020,100.02
2016,4,SALTA,106935,106.93
2016,4,SAN JUAN,51921,51.3
2016,4,SAN LUIS,13307,12.99
2016,4,SANTA CRUZ,26464,26.09
2016,4,SANTA FE,561832,561.47
2016,4,SANTIAGO DEL ESTERO,35051,35.05
2016,4,TIERRA DEL FUEGO,32557,31.94
2016,4,TUCUMAN,151652,151.62
2016,3,BUENOS AIRES,3086592,3075.39
2016,3,CAPITAL FEDERAL,1403104,1395.05
2016,3,CATAMARCA,26970,26.96
2016,3,CHACO,89230,89.22
2016,3,CHUBUT,63952,62.22
2016,3,CORDOBA,642591,642.46
2016,3,CORRIENTES,88340,88.33
2016,3,ENTRE RIOS,181149,181.09
2016,3,FORMOSA,27716,27.72
2016,3,JUJUY,42538,42.54
2016,3,LA PAMPA,70364,69.9
2016,3,LA RIOJA,16930,16.91
2016,3,MENDOZA,170624,169.17
2016,3,MISIONES,97997,98.0
2016,3,NEUQUEN,112603,110.49
2016,3,RIO NEGRO,101026,100.02
2016,3,SALTA,107791,107.79
2016,3,SAN JUAN,51968,51.35
2016,3,SAN LUIS,13293,12.98
2016,3,SANTA CRUZ,26257,25.89
2016,3,SANTA FE,567011,566.62
2016,3,SANTIAGO DEL ESTERO,35660,35.66
2016,3,TIERRA DEL FUEGO,31925,31.31
2016,3,TUCUMAN,151319,151.28
2016,2,BUENOS AIRES,3045291,3032.78
2016,2,CAPITAL FEDERAL,1394584,1384.82
2016,2,CATAMARCA,26556,26.54
2016,2,CHACO,88251,88.24
2016,2,CHUBUT,63856,62.12
2016,2,CORDOBA,634914,634.68
2016,2,CORRIENTES,86956,86.93
2016,2,ENTRE RIOS,178373,178.19
2016,2,FORMOSA,28802,28.8
2016,2,JUJUY,41189,41.19
2016,2,LA PAMPA,68888,68.4
2016,2,LA RIOJA,16736,16.72
2016,2,MENDOZA,170824,169.27
2016,2,MISIONES,95815,95.81
2016,2,NEUQUEN,110515,108.22
2016,2,RIO NEGRO,100704,99.63
2016,2,SALTA,104932,104.93
2016,2,SAN JUAN,52013,51.39
2016,2,SAN LUIS,13256,12.94
2016,2,SANTA CRUZ,26153,25.8
2016,2,SANTA FE,564474,563.87
2016,2,SANTIAGO DEL ESTERO,36961,36.96
2016,2,TIERRA DEL FUEGO,31359,30.74
2016,2,TUCUMAN,148677,148.64
2016,1,BUENOS AIRES,2942515,2929.9
2016,1,CAPITAL FEDERAL,1337896,1328.08
2016,1,CATAMARCA,26389,26.38
2016,1,CHACO,86651,86.64
2016,1,CHUBUT,63800,62.06
2016,1,CORDOBA,609926,609.69
2016,1,CORRIENTES,85536,85.51
2016,1,ENTRE RIOS,174813,174.63
2016,1,FORMOSA,28314,28.31
2016,1,JUJUY,40289,40.29
2016,1,LA PAMPA,65929,65.44
2016,1,LA RIOJA,16691,16.67
2016,1,MENDOZA,170810,169.26
2016,1,MISIONES,92958,92.95
2016,1,NEUQUEN,104261,101.97
2016,1,RIO NEGRO,99822,98.74
2016,1,SALTA,102426,102.42
2016,1,SAN JUAN,51994,51.37
2016,1,SAN LUIS,13232,12.92
2016,1,SANTA CRUZ,26287,25.93
2016,1,SANTA FE,551996,551.38
2016,1,SANTIAGO DEL ESTERO,37698,37.7
2016,1,TIERRA DEL FUEGO,30486,29.87
2016,1,TUCUMAN,146637,146.6
2015,4,BUENOS AIRES,2959385,2946.74
2015,4,CAPITAL FEDERAL,1370226,1360.38
2015,4,CATAMARCA,26472,26.46
2015,4,CHACO,86553,86.54
2015,4,CHUBUT,64019,62.28
2015,4,CORDOBA,626070,625.84
2015,4,CORRIENTES,85435,85.41
2015,4,ENTRE RIOS,174137,173.96
2015,4,FORMOSA,28089,28.09
2015,4,JUJUY,39924,39.92
2015,4,LA PAMPA,66366,66.05
2015,4,LA RIOJA,16932,16.91
2015,4,MENDOZA,170807,169.25
2015,4,MISIONES,92853,92.85
2015,4,NEUQUEN,107416,105.12
2015,4,RIO NEGRO,99722,98.66
2015,4,SALTA,101920,101.92
2015,4,SAN JUAN,52029,51.41
2015,4,SAN LUIS,13218,12.9
2015,4,SANTA CRUZ,26403,26.05
2015,4,SANTA FE,561672,561.04
2015,4,SANTIAGO DEL ESTERO,39135,39.13
2015,4,TIERRA DEL FUEGO,29953,29.33
2015,4,TUCUMAN,146095,146.05
2015,3,BUENOS AIRES,2928765,2916.07
2015,3,CAPITAL FEDERAL,1372068,1362.19
2015,3,CATAMARCA,26093,26.08
2015,3,CHACO,85370,85.35
2015,3,CHUBUT,63883,62.14
2015,3,CORDOBA,622998,622.76
2015,3,CORRIENTES,84959,84.93
2015,3,ENTRE RIOS,172434,172.25
2015,3,FORMOSA,27752,27.75
2015,3,JUJUY,39550,39.55
2015,3,LA PAMPA,65471,64.98
2015,3,LA RIOJA,16771,16.75
2015,3,MENDOZA,170823,169.26
2015,3,MISIONES,91622,91.62
2015,3,NEUQUEN,100616,98.38
2015,3,RIO NEGRO,99614,98.53
2015,3,SALTA,100573,100.57
2015,3,SAN JUAN,52030,51.41
2015,3,SAN LUIS,13219,12.9
2015,3,SANTA CRUZ,26271,25.91
2015,3,SANTA FE,556738,556.1
2015,3,SANTIAGO DEL ESTERO,39397,39.39
2015,3,TIERRA DEL FUEGO,33737,33.12
2015,3,TUCUMAN,144314,144.27
2015,2,BUENOS AIRES,2883790,2871.08
2015,2,CAPITAL FEDERAL,1346284,1336.39
2015,2,CATAMARCA,25679,25.67
2015,2,CHACO,83848,83.83
2015,2,CHUBUT,63485,61.74
2015,2,CORDOBA,609746,609.51
2015,2,CORRIENTES,83316,83.29
2015,2,ENTRE RIOS,169492,169.31
2015,2,FORMOSA,27050,27.01
2015,2,JUJUY,37722,37.72
2015,2,LA PAMPA,64052,63.55
2015,2,LA RIOJA,16509,16.49
2015,2,MENDOZA,170823,169.26
2015,2,MISIONES,88519,88.51
2015,2,NEUQUEN,97885,95.64
2015,2,RIO NEGRO,98727,97.64
2015,2,SALTA,98267,98.26
2015,2,SAN JUAN,51988,51.37
2015,2,SAN LUIS,13221,12.9
2015,2,SANTA CRUZ,25763,25.38
2015,2,SANTA FE,546388,545.74
2015,2,SANTIAGO DEL ESTERO,39378,39.38
2015,2,TIERRA DEL FUEGO,33579,32.96
2015,2,TUCUMAN,140677,140.64
2015,1,BUENOS AIRES,2861842,2847.08
2015,1,CAPITAL FEDERAL,1332721,1321.14
2015,1,CATAMARCA,25332,25.31
2015,1,CHACO,81360,81.33
2015,1,CHUBUT,65273,63.33
2015,1,CORDOBA,596957,596.66
2015,1,CORRIENTES,81531,81.49
2015,1,ENTRE RIOS,166070,165.84
2015,1,FORMOSA,26700,26.66
2015,1,JUJUY,36611,36.61
2015,1,LA PAMPA,62697,62.16
2015,1,LA RIOJA,16333,16.31
2015,1,MENDOZA,170160,168.36
2015,1,MISIONES,85146,85.14
2015,1,NEUQUEN,95742,93.37
2015,1,RIO NEGRO,97333,96.14
2015,1,SALTA,96811,96.79
2015,1,SAN JUAN,51819,51.12
2015,1,SAN LUIS,13232,12.88
2015,1,SANTA CRUZ,26641,26.22
2015,1,SANTA FE,536437,535.64
2015,1,SANTIAGO DEL ESTERO,39252,39.24
2015,1,TIERRA DEL FUEGO,33456,32.73
2015,1,TUCUMAN,138276,138.18
2014,4,BUENOS AIRES,2816407,2801.18
2014,4,CAPITAL FEDERAL,1330520,1318.53
2014,4,CATAMARCA,25493,25.47
2014,4,CHACO,66035,66.0
2014,4,CHUBUT,68542,66.56
2014,4,CORDOBA,590432,590.11
2014,4,CORRIENTES,65710,65.66
2014,4,ENTRE RIOS,140813,140.57
2014,4,FORMOSA,26207,26.16
2014,4,JUJUY,36002,36.0
2014,4,LA PAMPA,57380,56.81
2014,4,LA RIOJA,16402,16.38
2014,4,MENDOZA,169614,167.77
2014,4,MISIONES,77229,77.22
2014,4,NEUQUEN,95396,93.0
2014,4,RIO NEGRO,96260,95.05
2014,4,SALTA,93947,93.92
2014,4,SAN JUAN,52119,51.39
2014,4,SAN LUIS,13147,12.79
2014,4,SANTA CRUZ,25713,25.28
2014,4,SANTA FE,529397,528.46
2014,4,SANTIAGO DEL ESTERO,39317,39.31
2014,4,TIERRA DEL FUEGO,28990,28.25
2014,4,TUCUMAN,137424,137.33
2014,3,BUENOS AIRES,2849565,2835.54
2014,3,CAPITAL FEDERAL,1317825,1307.2
2014,3,CATAMARCA,24686,24.66
2014,3,CHACO,63746,63.71
2014,3,CHUBUT,69137,67.13
2014,3,CORDOBA,585431,585.23
2014,3,CORRIENTES,63549,63.52
2014,3,ENTRE RIOS,136733,136.62
2014,3,FORMOSA,25937,25.87
2014,3,JUJUY,33741,33.74
2014,3,LA PAMPA,62425,61.86
2014,3,LA RIOJA,15916,15.89
2014,3,MENDOZA,167924,166.18
2014,3,MISIONES,75327,75.33
2014,3,NEUQUEN,102367,100.1
2014,3,RIO NEGRO,97780,96.63
2014,3,SALTA,92954,92.93
2014,3,SAN JUAN,51779,51.03
2014,3,SAN LUIS,13046,12.68
2014,3,SANTA CRUZ,26110,25.66
2014,3,SANTA FE,520887,520.2
2014,3,SANTIAGO DEL ESTERO,37548,37.54
2014,3,TIERRA DEL FUEGO,28792,28.04
2014,3,TUCUMAN,132066,131.98
2014,2,BUENOS AIRES,2764546,2750.43
2014,2,CAPITAL FEDERAL,1310215,1299.5
2014,2,CATAMARCA,24683,24.66
2014,2,CHACO,63279,63.24
2014,2,CHUBUT,70519,68.5
2014,2,CORDOBA,576952,576.75
2014,2,CORRIENTES,62958,62.92
2014,2,ENTRE RIOS,135583,135.47
2014,2,FORMOSA,25600,25.54
2014,2,JUJUY,34361,34.36
2014,2,LA PAMPA,55628,55.05
2014,2,LA RIOJA,15912,15.89
2014,2,MENDOZA,166807,165.05
2014,2,MISIONES,74689,74.69
2014,2,NEUQUEN,92288,90.05
2014,2,RIO NEGRO,95957,94.81
2014,2,SALTA,91974,91.95
2014,2,SAN JUAN,51646,50.89
2014,2,SAN LUIS,13055,12.69
2014,2,SANTA CRUZ,27169,26.71
2014,2,SANTA FE,512358,511.75
2014,2,SANTIAGO DEL ESTERO,38011,38.0
2014,2,TIERRA DEL FUEGO,28209,27.44
2014,2,TUCUMAN,132069,131.98
2014,1,BUENOS AIRES,2739876,2725.73
2014,1,CAPITAL FEDERAL,1299918,1289.2
2014,1,CATAMARCA,24232,24.21
2014,1,CHACO,62556,62.52
2014,1,CHUBUT,70221,68.2
2014,1,CORDOBA,566910,566.71
2014,1,CORRIENTES,62236,62.2
2014,1,ENTRE RIOS,134331,134.22
2014,1,FORMOSA,25422,25.34
2014,1,JUJUY,33827,33.83
2014,1,LA PAMPA,54193,53.6
2014,1,LA RIOJA,15711,15.69
2014,1,MENDOZA,165845,164.08
2014,1,MISIONES,73950,73.95
2014,1,NEUQUEN,90380,88.08
2014,1,RIO NEGRO,95066,93.91
2014,1,SALTA,91290,91.26
2014,1,SAN JUAN,51298,50.54
2014,1,SAN LUIS,12557,12.19
2014,1,SANTA CRUZ,26764,26.3
2014,1,SANTA FE,506612,506.0
2014,1,SANTIAGO DEL ESTERO,37133,37.12
2014,1,TIERRA DEL FUEGO,28038,27.27
2014,1,TUCUMAN,130032,129.94
