A̱o,Trimestre,Minutos pospago salientes (millones),Minutos prepago salientes (millones),Total de minutos salientes (millones)
2013,1,8785.94,6582.12,15368.06
2013,2,9512.69,7108.64,16621.33
2013,3,10315.48,7335.15,17650.64
2013,4,9809.52,6250.55,16060.06
2014,1,10128.75,5799.22,15927.97
2014,2,10821.46,6438.07,17259.53
2014,3,11524.34,7179.15,18703.5
2014,4,11997.33,7147.63,19144.96
2015,1,10273.64,6480.17,16753.81
2015,2,11226.58,6579.82,17806.4
2015,3,11766.71,7198.83,18965.54
2015,4,11905.07,7301.04,19206.11
2016,1,11230.99,6656.65,17887.64
2016,2,11493.03,6778.73,18271.76
2016,3,11923.39,7077.84,19001.23
2016,4,15960.76,6938.89,22899.66
2017,1,14630.27,6209.98,20840.25
2017,2,15315.17,6293.56,21608.73
2017,3,15106.28,6308.37,21414.65
2017,4,14164.55,5380.71,19545.26
2018,1,13423.58,5850.98,19274.56
2018,2,14240.22,6027.37,20267.59
2018,3,14574.3,6108.48,20682.78
2018,4,14915.06,6613.68,21528.74
2019,1,13733.82,6182.15,20364.36
2019,2,13986.05,6174.6,20160.65
2019,3,13444.77,6819.31,20264.08
2019,4,11828.88,6567.19,18396.07
2020,1,13764.64,6211.88,19976.51
2020,2,14584.36,5949.1,20533.46
2020,3,14536.7,5696.02,20232.72
2020,4,14421.38,5768.78,20190.16
2021,1,12992.37,5469.58,18461.95
2021,2,13869.98,5354.04,19224.02
2021,3,13152.39,5440.36,18592.76
2021,4,12944.09,5456.09,18400.18
2022,1,12362.9,3586.13,15949.03
2022,2,12436.52,3776.19,16212.72
2022,3,12556.82,3870.17,16426.99
2022,4,11890.58,3721.06,15611.63
2023,1,10980.98,3469.83,14450.8
2023,2,10577.76,3493.3,14071.06
2023,3,10354.89,3639.91,13994.79
2023,4,10147.85,3673.25,13821.1
2024,1,9619.81,3771.71,13391.52
2024,2,8837.5,3595.21,12432.71
